,comments,label
411,"카메라 배열 불편,,,,,,",
412,최근 갤럭시 디자인중에서는 제일 괜찮아보임 그냥 심플하네요,
413,엌... 오히려 노트20이 더 나은데..,
414,차라리 그냥 인덕션을...다음 핸드폰을 S21로 갈지 Z폴드3로 갈지 고민했는데... 고민없이 폴드로 가렵니다,
415,로고랑 색깔 빼면 예쁜듯,
416,"카메라 제봘,,,",
417,왤케 카메라 욕심 내는거죠?ㅜㅜ 카메라 하나만 달고 나오면 예쁠것 같은데,
418,엇 예쁜데요?,
419,헐 색깔이뿌네요...,
420,카메라만 아니면 그나마 좀 괜찮아 보일 수 있을 것 겉긴 한데...,
421,이미지라서 그렇지 실물은 되게 이쁠것 같아요!,
422,오 갤럭시 점점 예뻐지는 거 같아요,
423,"옴메나,,,노트 10 오래 가자,,,,",
424,색 무슨일...... 실물 떠봐야 알려나.... 노트10 프리즘화이트같은 느낌 또 내줬으면 좋겠구만요...,
425,아 what...?,
426,카메라 배치.. 최선인가요...?,
427,저는 카메라에 진심이 아닙니다ㅜㅜㅜㅠ 뒷면 디자인에 더 진심이라구요ㅠㅠㅜㅠ 카메라 갯수 늘려도 안써요ㅠㅠㅠ 제발 카메라 경쟁 그만...,
428,카메라 엄청 좋아보이네여,
429,오 갠차는뎅,
430,와 이게 무슨...,
431,이쁘다,
432,아이 색 별로에요오,
433,...,
434,카메라에 그렇게까지 많은 걸 바라지 않는데 ㅜㅜ,
435,구리다,
436,갤럭시는 진짜 디자인 좀.. ㅠㅠㅠ 갤럭시 쓰고 싶은데 디자인 때문에 쓰기 싫고 그래욬ㅋㅋㅋㅋ,
437,오 보라색 예쁘다,
438,22,
439,33,
440,엇 이 이쁜데 역시 보는 눈이 다 다르군요,
441,헐 예쁘다,
442,카메라가 많네요,
443,ㅇ ㅏ....갤럭시 왜 그래...,
444,색 조금만 원색에서 벗어나면 예쁠듯 ㅠ,
445,어머 너무 예쁜데 색깔만 좀 어케 해줘요 파스텔톤이 좋은데ㅠ,
446,색은 이쁜거 같은데... 디자인은 이제 저렇게 밖에 나오지 못하는 건가요...,
447,"아이폰 디자인+갤럭시 기능 원해요 제발,,,,,",
448,카메라 디자인만 잘 정리되면 괜찮은데,
449,디자인만 어떻게 하면 갤럭시 쓰고 싶어질 것 같은데 늘 디자인이...,
450,진짜 구리다 디자인부터 색상까지...,
451,색 왜저래여ㅠㅠㅜ늘,
452,카메랔ㅋㅋㅋㅋㅋ 오반데요..,
453,오 청록색 특이하다,
454,...후... 왜그랴...,
455,21쯤이면 인 디스플레이 카메라나 다른 기술 들어갈줄 알았는데... 아직 멀었나,
456,댑악 언제나올까요...  버티기 갑니다...,
457,"카메라 배열 불편,,,,,,",
458,최근 갤럭시 디자인중에서는 제일 괜찮아보임 그냥 심플하네요,
459,엌... 오히려 노트20이 더 나은데..,
460,차라리 그냥 인덕션을...다음 핸드폰을 S21로 갈지 Z폴드3로 갈지 고민했는데... 고민없이 폴드로 가렵니다,
461,로고랑 색깔 빼면 예쁜듯,
462,"카메라 제봘,,,",
463,왤케 카메라 욕심 내는거죠?ㅜㅜ 카메라 하나만 달고 나오면 예쁠것 같은데,
464,엇 예쁜데요?,
465,헐 색깔이뿌네요...,
466,카메라만 아니면 그나마 좀 괜찮아 보일 수 있을 것 겉긴 한데...,
467,이미지라서 그렇지 실물은 되게 이쁠것 같아요!,
468,오 갤럭시 점점 예뻐지는 거 같아요,
469,"옴메나,,,노트 10 오래 가자,,,,",
470,색 무슨일...... 실물 떠봐야 알려나.... 노트10 프리즘화이트같은 느낌 또 내줬으면 좋겠구만요...,
471,아 what...?,
472,카메라 배치.. 최선인가요...?,
473,저는 카메라에 진심이 아닙니다ㅜㅜㅜㅠ 뒷면 디자인에 더 진심이라구요ㅠㅠㅜㅠ 카메라 갯수 늘려도 안써요ㅠㅠㅠ 제발 카메라 경쟁 그만...,
474,👏,
475,일본에서는 갤럭시가 삼성(한국 기업)이라고 잘 안쓴다는 글을 봤었는데 .. 그래서 삼성 로고 대신 갤럭시 로고를 넣어서 판다고 하더라고요 ㅋㅋㅋ,
476,일본은 스마트폰 뭐 쓰지.. 아이폰인가.. 할아버지들도..?!,
477,저는 일본인 만나는 사람마다 아이폰 쓰는거 봤어용...!,
478,소니도 많이 쓰던데요,
479,😂,
480,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
481,😂,
482,😥,
483,😂,
484,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
485,😂,
486,😂,
487,😂,
488,😮,
489,😂,
490,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
491,와 근데 원숭이 엄청 작네용,
492,빌었다는 게 너무 웃겨요 ㅋㅋ큐ㅠㅠㅠㅠ,
493,아니이게무슨 ㅠㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
494,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
495,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ찐인 게 더 웃김ㅋㅋㅋㅋㅋㅋ,
496,아 어떡해ㅋㅋㅋㅋㄱㄲㅋ쿠ㅜㅜㅜ,
497,지하철 씨씨티비 보고 빌었다는 분 생각나요...,
498,지하철 cctv를 보면서 왜요...? 궁금해요....ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
499,Cctv 보면서 빌면 지하철이 다시 열린대요!!,
500,헉 너무 귀여워요ㅠㅠㅠㅠㅠ 알려주셔서 감사합니다!!!,
501,ㅋㅋ그렇게했는데 아무소용없었다는썰..입니당!,
502,성동애에게,
503,저 한 2년전인가 3년전인가... 싸이 콘서트 보고 2호선 막차 눈앞에서 놓쳐서 빌었는데 열어주셨어욬ㅋㅋㅋ큐ㅠㅠㅠㅜ,
504,??ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㄱㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
505,ㅋㅋㅋ아니 ㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
506,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
507,ㅠㅠㅠㅠㅠㅠ,
508,진심 짜증나겠다 아 원숭이 싫어,
509,원숭이가 버즈 들고 있으니깐 음료수병 같네요ㅋㅋㅋ,
510,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
511,진짜빈티지느낌,
512,헐ㅋㅋㅋㅋㅋㅋㅇ아닡ㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠ,
513,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
514,나무열매인줄 알았나;원숭이가 참 영리해서 또 뻔뻔하죠,
515,😂,
516,리얼 빈티지...,
517,아니 저게 실화라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
518,원숭이가 드니까 되게 커보인다...ㅋㅋㅋㅋ,
519,아 이게 실화라니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠ 원숭이놈...,
520,원숭이 브이 하는 줄...,
521,아니 세상에 받았다는 게 더 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
522,세상엨ㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠ,
523,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
524,아잌ㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋ아 제목부터 왜케 웃기졐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
525,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
526,왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
527,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어떻게 저러지ㅋㅋㅋㅋ너무웃기다,
528,와 근데 버즈 되게 쪼끄맣다고  생각했는데 원숭이 옆에 있으니까 엄청 크네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
529,저도 저런적있어요 ㅋㅋㅋㅋ버즈는 아니었지만ㅋㅋ 가방에있던 조식으로 나왔던 바나나 까서 알멩이를 던져주니까 그거 잡으려고 제 물건을 버리더라구요 ㅎ 그때 잽싸게 주웠습니다,
530,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
531,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
532,ㅋㅋㅋㅋㅋㅋㅋ실화라니,
533,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
534,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게 실화라니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
535,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
536,과자로 빌어서 받은게 너무 웃겨요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ꙼̈ㅋ̆̎ㅋ̐̈ㅋ̊̈,
537,정말 빈티지가 되버렸네욤,
538,웃프네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
539,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
540,ㅋㅋㅋ 발리에서 원숭이가 제가 손에들고 잇던 기념품 봉지 들고 튄 사건이 생각나네요.목각 부엉이 귀 다 갉아먹고는 지나가는 다른 할배 식료품봉지 잡아뜯는다고 내꺼 버리고 가는데 눈물이...그 할배 쌀 과일 과자 치즈 등 식료품 다 털림당한 사람은 아는 빡침,
541,아 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
542,이왜진ㅋㅋㅋㅋㅋㅋㅋㅋ,
543,ㅋㅋㅋㅋㅋㅋㅋㅋ 웃프다,
544,사진없고 글로만 있었으면 안믿었을듯ㅋㅋㅋㅋㅋㄲ,
545,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
546,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
547,이왜진ㅋㅋㅋㅋ,
548,정말 세상은 요지경이에요,
549,원숭이 나무에 올라가~,
550,버즈를 흔들며 앉아서~,
551,뉴블리지 빠르도~,
552,몽키몽키 매직 몽키매짘,
553,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
554,아니 엄청 소중하게 안고 있엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
555,원숭이 진짜 신기할 정도로 영리요... 저 고등학교 때 쌤은 원숭이한테 맞아보셨대요ㅠㅠ,
556,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
557,아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅜㅜ,
558,스티커가 진정한 빈티지로 만들어졌네요 ㅋㅋㅋ,
559,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
560,헐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
561,받았단 사실이 더 웃겨요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 과자로ㅋㅋㅋㅋㅋㅋㅋㅋ,
562,ㅋㅋㅋㅋㅋ안이,
563,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
564,날강도가 따로없네 내가 더 빡침,
565,대박ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
566,빡치는데 너무 귀여워 ㅠㅠㅠ,
567,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
568,아낰ㅋㅋㅋㅋㅋㅋㅋ첫짤 왠지 원숭이가 노래감상하고 있는거 같아요ㅠ,
569,알같은 걸로 착각한거 아닐까요ㅋㅋㅋㅋㅋㅋ,
570,와 ㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 주작 아닌게 더 웃겨요ㅠㅠㅠㅠㅡㄹㅠㅠ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㅋ  ㄹㅇ,
571,(본인이 직접 삭제한 댓글입니다),
572,해외인 거 같아요 ㅋㅋㅋㅋ 동남아 쪽엔 거리에 원숭이들이 있어서...,
573,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
574,아낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
575,이게뭐얔ㅋㅋㅋㅋㅋ,
576,어웈ㅋㅋㅋㅋㅋㅋ원숭이 진짜 싫엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
577,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
578,ㅋㅋㅋㅋㅋ대박사건,
579,원숭이는 왜 물건을 가져가는 걸까...,
580,원숭이가 나빴네ㅜㅜ,
581,ㅋㅋㅋ,
582,원숭이 진짜 머리도 다 쥐뜯고 물건 훔쳐가고.. 악질이야..,
583,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
584,헐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
585,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
586,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
587,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠ 힘내녀,
588,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
589,ㅋㅋㅋㅋㅋㅋㅋㅋ,
590,헐 대박 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
591,ㅋㅋㅋㅋㅋㅋㅋㅋ,
592,ㅋㅋㅋㅋ,
593,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
594,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
595,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
596,ㅋㅋㅋㅋㅋㅋㅋㅋ,
597,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
598,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
599,왜그랬댘ㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
600,이왜진,
601,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 과자준다고 빌었더니 돌려줬댜닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
602,아악ㅠㅠㅠㅠ,
603,아 ㅋㅋㅋㅋㅋㅋㅋㅋ ~!!! 물결 느낌표 오ㅐ케웃겨,
604,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
605,🤣,
606,아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
607,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
608,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
609,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
610,ㅋ ㅋ ㅋ ㅋㅋ ㅋ ㅋ ㅋㅋㅋ  ㅋ ㅋㅋㅋ ㅋ ㅋ ㅋㅋㅋ ㅋ ㅋㅋㅋ ㅋ ㅋㅋㅋㅋㅋ,
611,으악 그만큼 원숭이가 영리한 거 아닐까요?ㅠㅠ,
612,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
613,𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ𐌅𐨛ｦ,
614,저 잠깐깨서 이 글보고 다시 잠잤는데 꿈에 원숭이가 쫓아오는 꿈 꿨어요 ...,
615,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅌㅌ,
616,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
617,와ㅋㅋㅋㅋㅋ있을 수 있는 일인가요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그때는 좀 화났겠지만 나중에 돌이켜보면 진짜 재밌는 일화가 될듯,
618,ㅋㅋㅋㅋㅋ,
619,ㅇㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
620,헐 ㅋㄱㅋㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱ,
621,그와중에 존칭ㅋㅋㅋㅋㅋㅋㅋㅋ,
622,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
623,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
624,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
625,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
626,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
627,헐ㅋㅋㅋㅋㅋㅋ가능한일인가요????ㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠ,
628,주셨대ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
629,ㅐ웃곀ㄱㅋㄱㅋㅋ,
630,ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬ㅋ⫬,
631,이게 찐이라니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
632,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
633,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
634,ㅋㅋㅋㅋㅋㅋㅋㅋ,
635,아 나 왜 찐으로 화나지 ㅋㅋㅋ 영악한 친척동생 보는거같아서 화남,
636,ㅋㅈㅋㅈㅋㄱㅋㅋ왘ㄲㅋㅋㅋ이게 말이되냨ㅋㅋㅋ,
637,인증 없었음 백퍼 응 주작~ 했을듯,
638,ㅋㅋㅋㅋㅋㅅ 아 ㅋㅋㅋ,
639,아낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 꼭품고있네 왜가져간거야,
640,돌려줘서 다행이다요ㅋㅋㅋㅋㅋ,
641,ㅋㅋㅋㅋㅋㅋㅋㅋ,
642,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
643,아니 원숭이 왤케 얄미웤ㅋㅋㅋㅋ,
644,너무웃겨요ㅠㅋㅋㅋ,
645,ㄱㅇㅇ ㅋㅋㅋㅋㅋㅋㅋ,
646,진짜 빈티지가 됐네요,
647,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 퓨ㅠㅠㅠㅠㅠㅠ,
648,아니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
649,그래도 돌려받아서 다행이네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
650,아이곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
651,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
652,ㄴㅋㅋㅋㅋㅋㅋㅋ,
653,😂,
654,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이게뭐람ㅋㅋㅋ,
655,우리나라에서요?????,
656,외국인가ㅋㅋㅋㅋㅋㅋㅠㅜㅜㅜ,
657,헐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
658,친구 방콕 여행갔을때 머리위에 걸쳐놓은 프라다 선글라스 원숭이가 순식간에 훔쳐가서 대분노 삭히며 그곳 직원과 간식으로 꼬셔서 돌려받았다는 얘기 기억나네ㅠㅜㅜ 당한사람만 아는 그 황망함ㅋㅋㅋ,
659,똑똑하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
660,𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅,
661,박물관이 살아있다에 나오는 그 원숭이 실사판 같닼ㅋㄱㅋㄲㅋㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㄱㅋㄲㅋ,
662,아낰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
663,ㅋㅋㅋㅋㅋ앜ㅋㅋㅋㅋㅋㅋㅋ,
664,ㅋㅋㅋㅋㅋㅋㅋㅋ,
665,ㄹㅇ 빈티지됐네요,
666,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
667,엑ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
668,원숭이 진짜 영리하네요... 그나마 돌려받아서 다행,
669,원숭이 넘 웃기닼ㅋㅋㅋ,
670,엌 ㅋㅋㅋㅋㅋ,
671,헐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
672,ㅋㅋㅋㅋㅋㅋㅇㄴ,
673,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
674,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
675,어쩌다가ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
676,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
