,comments,label
247,저러고 애플 욕 먹은 거 모르는 건가..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 따라해ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
248,아 진짜 이러지마,
249,진짜 짜증나네....,
250,점점 살기 팍팍해지네요 돈주고 충전기사는 시대라니 ㅠㅍ,
251,아진짜....삼성마저 그러지 말라구요..,
252,아니 대체 왜 쓸데없는 걸 따라하는거여,
253,근데 그래도 샘송은 꽤나 예전부터 씨타입 어댑터를 구성품으로 주지않았나요..? 애플은 씨타입 어댑터를 11프로부터 포함해서 아직 애플을 사용하는 많은 사람들한테는 씨타입 어댑터가 없는데 광고에서 마치 <이미 많은 사람들의 집에 있다>라고 표현해서 욕먹었던 것 같아요!!,
254,어댑터 없애는 건 어쨌든 원가절감한다는 느낌을 없앨 수 없지만 애플을 사용하는 저는 그래도 삼성으ㄴ 양반이라고 봐요 ㅜ,
255,아니...아니.....왜 그러세요.....왜....왜....그러시죠...?,
256,삼성 제발 따라가지말고 뚝심있게 가주세요....,
257,충전기 비싸요ㅠㅠ 애초에 수명이 2년이라고들 하는데 도대체 왜ㅠㅠ,
258,그러지마십쇼...,
259,어차피 집에많은데 안줘도 ㄱㅊ 가격만 빼준다면,
260,삼성 뇌절그만해요......이어폰단자 ㅠㅠㅠㅠㅠㅠ,
261,아 왜 그러는거야 진짜ㅠㅠ,
262,🤦‍♀️,
263,아니 어댑터나 이어폰 뺄 거면 가격이라도 낮추든가 ㅋㅋㅋ,
264,이럴 것 같긴했음...,
265,기타구성품 빠지고 폰 자체 퀄리티가 좋아지면 만족스러울 듯.. 디자인 ㅠ 좀 더 예쁘게 해서 내줬음 좋겟다,
266,ㅋㅋㅋㅋㅋㅋㅋㅋ,
267,근데 이렇게 하더라도 막상 쓸 사람은 쓸듯..나중에 되면 이폰 저폰 다 충전기에 이어폰단자 빼고 출시될거같음ㅠㅠㅠ 만약 그렇게되믄 그냥 강낭콩이랑 공기팟 강제구입하란거여ㅠㅠ,
268,다 빼라 다 빼 이럴거면 핸드폰도 빼,
269,아 제발...,
270,"라이트닝-c타입, c타입-c타입 케이블은 몰라도 c타입-USB케이블은 꽤 많지 않나요? 애플 제외하고 거의 다 c타입-USB케이블이라 실제로도 케이블 있으신 분이 많아서 삼성은 따로 구성품으로 안 넣어줘도 괜찮다고 생각해요!",
271,아아악 빼지마ㅜㅜ,
272,이어폰만 빼주세요.....폰 바꿀 때 받을 삼성 정품 충전기 생각하며 안 샀는데......ㅠ,
273,어디서 못된건만 쳐배워가지고.....  이런식이면 갤럭시 갈아타야지,
274,으이구...,
275,너네까지 왜이래...,
276,제발요....🥲,
277,충전기는 왜...,
278,아;,
279,삼성은 빼도 상관없을것같아요 워낙 C타입이 대중화 되어서...,
280,야... 이게 뭐냐...,
281,아 쫌;,
282,으이구 못된 것만 배워서...,
283,이.딴걸 오ㅑ 따라가 미쳣나 삼성,
284,애플이랑 니네 뭐하냐..,
285,흐즈므르..,
286,??,
